/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S34. Binned and LOESS smoothed Cenozoic deep-sea benthic foraminifer stable carbon and oxygen isotope reference splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917717, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Parameter(s):	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Ccount
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13C
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d13Cinterp
	Foraminifera, benthic [#] (Foram benth) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ocount
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18O
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENbinned_d18Ointerp
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmooth
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmooth
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: error
	Foraminifera, benthic δ13C [‰ PDB] (Foram benth δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd13cLOESSsmoothLongTerm
	Foraminifera, benthic δ18O [‰ PDB] (Foram benth δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENd18oLOESSsmoothLongTerm
	Comment (Comment) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: ISOBENLOESSsmooth_pts
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	294263 data points
*/
Tuned time [Ma]	Foram benth [#] (ISOBENbinned_d13Ccount)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13C)	Foram benth δ13C [‰ PDB] (ISOBENbinned_d13Cinterp)	Foram benth [#] (ISOBENbinned_d18Ocount)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18O)	Foram benth δ18O [‰ PDB] (ISOBENbinned_d18Ointerp)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmooth)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmooth)	Comment (error)	Foram benth δ13C [‰ PDB] (ISOBENd13cLOESSsmoothLongTerm)	Foram benth δ18O [‰ PDB] (ISOBENd18oLOESSsmoothLongTerm)	Comment (ISOBENLOESSsmooth_pts)
5.566	1	0.100	0.100	1	3.440	3.440	0.016	3.307	10pts smooth	0.041123077	3.271312500	500pts smooth
5.568	1	0.040	0.040	1	3.230	3.230	0.014	3.286	10pts smooth	0.040791675	3.272069000	500pts smooth
5.570	1	-0.100	-0.100	1	3.290	3.290	0.010	3.258	10pts smooth	0.040445026	3.272796200	500pts smooth
5.572	1	0.050	0.050	1	3.290	3.290	0.005	3.247	10pts smooth	0.040083073	3.273492300	500pts smooth
5.574	1	0.000	0.000	1	3.060	3.060	-0.003	3.256	10pts smooth	0.039705753	3.274156300	500pts smooth
5.576	1	0.040	0.040	1	3.390	3.390	-0.019	3.321	10pts smooth	0.039313007	3.274787700	500pts smooth
5.578	2	-0.100	-0.100	2	3.465	3.465	-0.037	3.389	10pts smooth	0.038904779	3.275384400	500pts smooth
5.580	1	-0.080	-0.080	1	3.450	3.450	-0.056	3.410	10pts smooth	0.038481005	3.275946100	500pts smooth
5.582	1	-0.030	-0.030	1	3.370	3.370	-0.072	3.421	10pts smooth	0.038041625	3.276471100	500pts smooth
5.584	1	-0.020	-0.020	1	3.380	3.380	-0.059	3.441	10pts smooth	0.037575636	3.276986600	500pts smooth
5.586	1	-0.170	-0.170	1	3.440	3.440	-0.052	3.456	10pts smooth	0.037072666	3.277519700	500pts smooth
5.588	1	-0.040	-0.040	1	3.620	3.620	-0.100	3.476	10pts smooth	0.036533613	3.278069500	500pts smooth
5.590	1	0.020	0.020	1	3.380	3.380	-0.149	3.466	10pts smooth	0.035959378	3.278635500	500pts smooth
5.592	1	-0.410	-0.410	1	3.430	3.430	-0.178	3.439	10pts smooth	0.035350859	3.279216800	500pts smooth
5.594	1	-0.160	-0.160	1	3.410	3.410	-0.142	3.397	10pts smooth	0.034708958	3.279812600	500pts smooth
5.596	2	-0.040	-0.040	2	3.380	3.380	-0.083	3.353	10pts smooth	0.034034576	3.280422700	500pts smooth
5.598	1	0.100	0.100	1	3.280	3.280	0.015	3.311	10pts smooth	0.033328608	3.281045900	500pts smooth
5.600	1	0.040	0.040	1	3.290	3.290	0.099	3.277	10pts smooth	0.032591954	3.281681500	500pts smooth
5.602	1	0.120	0.120	1	3.240	3.240	0.089	3.275	10pts smooth	0.031825516	3.282329100	500pts smooth
5.604	1	0.120	0.120	1	3.290	3.290	0.064	3.284	10pts smooth	0.031030193	3.282987800	500pts smooth
5.606	1	-0.090	-0.090	1	3.340	3.340	0.062	3.301	10pts smooth	0.030206883	3.283656800	500pts smooth
5.608	1	0.120	0.120	1	3.290	3.290	0.056	3.315	10pts smooth	0.029356487	3.284335600	500pts smooth
5.610	1	0.120	0.120	1	3.290	3.290	0.047	3.305	10pts smooth	0.028479906	3.285023500	500pts smooth
5.612	2	-0.005	-0.005	2	3.355	3.355	0.040	3.290	10pts smooth	0.027578035	3.285719600	500pts smooth
5.614	1	-0.010	-0.010	1	3.220	3.220	0.028	3.278	10pts smooth	0.026651777	3.286423200	500pts smooth
5.616	0		0.025	0		3.272	0.020	3.270	10pts smooth	0.025702031	3.287133700	500pts smooth
5.618	2	0.060	0.060	2	3.325	3.325	0.042	3.281	10pts smooth	0.024729697	3.287850100	500pts smooth
5.620	2	0.075	0.075	2	3.215	3.215	0.065	3.300	10pts smooth	0.023735672	3.288572300	500pts smooth
5.622	2	0.065	0.065	2	3.395	3.395	0.062	3.323	10pts smooth	0.022720858	3.289299000	500pts smooth
5.624	3	0.047	0.047	3	3.320	3.320	0.053	3.360	10pts smooth	0.021686155	3.290030000	500pts smooth
5.626	2	0.030	0.030	2	3.380	3.380	0.044	3.387	10pts smooth	0.020632461	3.290764100	500pts smooth
5.628	2	0.050	0.050	2	3.365	3.365	0.051	3.359	10pts smooth	0.019560674	3.291500600	500pts smooth
5.630	3	0.057	0.057	3	3.453	3.453	0.060	3.322	10pts smooth	0.018471695	3.292239200	500pts smooth
5.632	2	0.085	0.085	2	3.160	3.160	0.066	3.299	10pts smooth	0.017366426	3.292979000	500pts smooth
5.634	2	0.055	0.055	2	3.225	3.225	0.067	3.281	10pts smooth	0.016245764	3.293719300	500pts smooth
5.636	2	0.105	0.105	2	3.380	3.380	0.048	3.293	10pts smooth	0.015110608	3.294459100	500pts smooth
5.638	2	-0.010	-0.010	2	3.340	3.340	0.040	3.311	10pts smooth	0.013961859	3.295198200	500pts smooth
5.640	3	0.013	0.013	3	3.227	3.227	0.086	3.302	10pts smooth	0.012800415	3.295935400	500pts smooth
5.642	2	0.155	0.155	2	3.335	3.335	0.135	3.282	10pts smooth	0.011627178	3.296670400	500pts smooth
5.644	1	0.260	0.260	1	3.260	3.260	0.164	3.259	10pts smooth	0.010443045	3.297402100	500pts smooth
5.646	1	0.170	0.170	1	3.200	3.200	0.176	3.232	10pts smooth	0.009248916	3.298130300	500pts smooth
5.648	2	0.120	0.120	2	3.245	3.245	0.133	3.183	10pts smooth	0.008045692	3.298853600	500pts smooth
5.650	2	0.040	0.040	2	3.120	3.120	0.089	3.144	10pts smooth	0.006834271	3.299572000	500pts smooth
5.652	2	0.115	0.115	2	3.055	3.055	0.104	3.156	10pts smooth	0.005615554	3.300284100	500pts smooth
5.654	1	0.100	0.100	1	3.230	3.230	0.129	3.172	10pts smooth	0.004390439	3.300989900	500pts smooth
5.656	2	0.180	0.180	2	3.250	3.250	0.149	3.172	10pts smooth	0.003159826	3.301688200	500pts smooth
5.658	2	0.200	0.200	2	3.195	3.195	0.143	3.172	10pts smooth	0.001924615	3.302378400	500pts smooth
5.660	2	0.070	0.070	2	2.960	2.960	0.132	3.169	10pts smooth	0.000685704	3.303060100	500pts smooth
5.662	2	0.075	0.075	2	3.320	3.320	0.122	3.165	10pts smooth	-0.000556005	3.303731900	500pts smooth
5.664	1	0.180	0.180	1	3.170	3.170	0.111	3.166	10pts smooth	-0.001799614	3.304393800	500pts smooth
5.666	1	0.140	0.140	1	3.200	3.200	0.111	3.168	10pts smooth	-0.003044224	3.305044400	500pts smooth
5.668	2	0.035	0.035	2	3.025	3.025	0.111	3.176	10pts smooth	-0.004288934	3.305683900	500pts smooth
5.670	2	0.105	0.105	2	3.315	3.315	0.093	3.209	10pts smooth	-0.005532845	3.306310700	500pts smooth
5.672	2	0.125	0.125	2	3.185	3.185	0.075	3.246	10pts smooth	-0.006775058	3.306924300	500pts smooth
5.674	1	0.060	0.060	1	3.440	3.440	0.065	3.269	10pts smooth	-0.008014673	3.307524400	500pts smooth
5.676	1	0.010	0.010	1	3.090	3.090	0.062	3.289	10pts smooth	-0.009250792	3.308110200	500pts smooth
5.678	2	0.070	0.070	2	3.355	3.355	0.081	3.320	10pts smooth	-0.010482512	3.308680500	500pts smooth
5.680	1	0.120	0.120	1	3.360	3.360	0.097	3.336	10pts smooth	-0.011708938	3.309235100	500pts smooth
5.682	1	0.130	0.130	1	3.380	3.380	0.070	3.301	10pts smooth	-0.012929166	3.309773000	500pts smooth
5.684	1	0.060	0.060	1	3.270	3.270	0.038	3.251	10pts smooth	-0.014142299	3.310293700	500pts smooth
5.686	2	-0.085	-0.085	2	3.080	3.080	0.020	3.200	10pts smooth	-0.015347438	3.310796300	500pts smooth
5.688	2	0.000	0.000	2	3.150	3.150	0.012	3.159	10pts smooth	-0.016543681	3.311280000	500pts smooth
5.690	2	0.055	0.055	2	3.145	3.145	0.033	3.151	10pts smooth	-0.017730132	3.311744500	500pts smooth
5.692	1	0.150	0.150	1	3.300	3.300	0.060	3.152	10pts smooth	-0.018905887	3.312188600	500pts smooth
5.694	2	0.030	0.030	2	3.100	3.100	0.071	3.121	10pts smooth	-0.020070052	3.312612100	500pts smooth
5.696	1	-0.010	-0.010	1	2.990	2.990	0.077	3.117	10pts smooth	-0.021221722	3.313013800	500pts smooth
5.698	2	0.115	0.115	2	3.205	3.205	0.088	3.232	10pts smooth	-0.022360001	3.313393400	500pts smooth
5.700	1	0.160	0.160	1	3.300	3.300	0.085	3.362	10pts smooth	-0.023483988	3.313750000	500pts smooth
5.702	1	0.080	0.080	1	3.720	3.720	0.019	3.452	10pts smooth	-0.024592783	3.314082600	500pts smooth
5.704	2	-0.105	-0.105	2	3.420	3.420	-0.043	3.504	10pts smooth	-0.025685487	3.314391100	500pts smooth
5.706	1	-0.160	-0.160	1	3.390	3.390	-0.043	3.448	10pts smooth	-0.026761202	3.314674400	500pts smooth
5.708	2	0.030	0.030	2	3.400	3.400	-0.008	3.366	10pts smooth	-0.027819028	3.314931900	500pts smooth
5.710	0		0.123	0		3.320	0.102	3.332	10pts smooth	-0.028858064	3.315162700	500pts smooth
5.712	2	0.215	0.215	2	3.240	3.240	0.210	3.298	10pts smooth	-0.029877411	3.315366300	500pts smooth
5.714	2	0.285	0.285	2	3.350	3.350	0.232	3.226	10pts smooth	-0.030876171	3.315541700	500pts smooth
5.716	1	0.220	0.220	1	3.130	3.130	0.224	3.163	10pts smooth	-0.031853441	3.315688600	500pts smooth
5.718	1	0.180	0.180	1	3.090	3.090	0.196	3.142	10pts smooth	-0.032846302	3.315809000	500pts smooth
5.720	1	0.110	0.110	1	3.060	3.060	0.161	3.140	10pts smooth	-0.033891331	3.315905100	500pts smooth
5.722	2	0.175	0.175	2	3.290	3.290	0.149	3.214	10pts smooth	-0.034986898	3.315977800	500pts smooth
5.724	2	0.155	0.155	2	3.230	3.230	0.139	3.183	10pts smooth	-0.036131360	3.316027600	500pts smooth
5.726	1	0.150	0.150	1	3.220	3.220	0.127	3.125	10pts smooth	-0.037323073	3.316055300	500pts smooth
5.728	2	0.035	0.035	2	3.190	3.190	0.099	3.027	10pts smooth	-0.038560405	3.316060800	500pts smooth
5.730	1	0.140	0.140	1	2.390	2.390	0.068	2.956	10pts smooth	-0.039841719	3.316045300	500pts smooth
5.732	2	-0.085	-0.085	2	3.280	3.280	0.029	3.018	10pts smooth	-0.041165370	3.316008800	500pts smooth
5.734	1	0.150	0.150	1	3.180	3.180	-0.005	3.114	10pts smooth	-0.042529721	3.315952100	500pts smooth
5.736	2	-0.045	-0.045	2	3.190	3.190	-0.010	3.173	10pts smooth	-0.043933135	3.315875500	500pts smooth
5.738	1	-0.190	-0.190	1	3.260	3.260	-0.006	3.223	10pts smooth	-0.045373969	3.315779900	500pts smooth
5.740	1	0.150	0.150	1	3.210	3.210	0.006	3.267	10pts smooth	-0.046850592	3.315665700	500pts smooth
5.742	1	0.040	0.040	1	3.240	3.240	0.010	3.337	10pts smooth	-0.048361357	3.315533200	500pts smooth
5.744	1	-0.030	-0.030	1	3.440	3.440	-0.033	3.484	10pts smooth	-0.049904630	3.315383200	500pts smooth
5.746	1	-0.120	-0.120	1	3.790	3.790	-0.088	3.629	10pts smooth	-0.051478773	3.315216100	500pts smooth
5.748	0		-0.142	0		3.727	-0.135	3.707	10pts smooth	-0.053082142	3.315032500	500pts smooth
5.750	2	-0.165	-0.165	2	3.665	3.665	-0.164	3.748	10pts smooth	-0.054713104	3.314832700	500pts smooth
5.752	1	-0.130	-0.130	1	3.780	3.780	-0.140	3.739	10pts smooth	-0.056370016	3.314617600	500pts smooth
5.754	2	-0.155	-0.155	2	3.635	3.635	-0.104	3.705	10pts smooth	-0.058051240	3.314387600	500pts smooth
5.756	1	-0.090	-0.090	1	3.760	3.760	-0.090	3.662	10pts smooth	-0.059755139	3.314142900	500pts smooth
5.758	1	0.090	0.090	1	3.560	3.560	-0.072	3.602	10pts smooth	-0.061480075	3.313884700	500pts smooth
5.760	2	-0.165	-0.165	2	3.540	3.540	-0.039	3.517	10pts smooth	-0.063224405	3.313612900	500pts smooth
5.762	1	-0.100	-0.100	1	3.420	3.420	-0.002	3.434	10pts smooth	-0.064986497	3.313328300	500pts smooth
5.764	1	0.160	0.160	1	3.340	3.340	0.053	3.387	10pts smooth	-0.066764705	3.313031400	500pts smooth
5.766	1	0.120	0.120	1	3.400	3.400	0.101	3.358	10pts smooth	-0.068557389	3.312722700	500pts smooth
5.768	2	0.115	0.115	2	3.305	3.305	0.092	3.347	10pts smooth	-0.070362918	3.312402700	500pts smooth
5.770	1	0.040	0.040	1	3.410	3.410	0.071	3.345	10pts smooth	-0.072179653	3.312072300	500pts smooth
5.772	2	0.025	0.025	2	3.330	3.330	0.076	3.341	10pts smooth	-0.074005947	3.311731300	500pts smooth
5.774	1	0.100	0.100	1	3.300	3.300	0.089	3.349	10pts smooth	-0.075840168	3.311381100	500pts smooth
5.776	3	0.130	0.130	3	3.347	3.347	0.123	3.376	10pts smooth	-0.077680670	3.311021300	500pts smooth
5.778	2	0.150	0.150	2	3.460	3.460	0.140	3.405	10pts smooth	-0.079525828	3.310653200	500pts smooth
5.780	1	0.160	0.160	1	3.540	3.540	0.086	3.427	10pts smooth	-0.081373990	3.310277000	500pts smooth
5.782	2	-0.025	-0.025	2	3.245	3.245	0.015	3.446	10pts smooth	-0.083223522	3.309893400	500pts smooth
5.784	2	-0.085	-0.085	2	3.535	3.535	-0.049	3.449	10pts smooth	-0.085072786	3.309502600	500pts smooth
5.786	0		-0.122	0		3.493	-0.109	3.456	10pts smooth	-0.086920142	3.309105400	500pts smooth
5.788	1	-0.160	-0.160	1	3.450	3.450	-0.145	3.495	10pts smooth	-0.088763952	3.308702500	500pts smooth
5.790	3	-0.047	-0.047	3	3.473	3.473	-0.190	3.532	10pts smooth	-0.090602577	3.308293800	500pts smooth
5.792	1	-0.370	-0.370	1	3.640	3.640	-0.226	3.559	10pts smooth	-0.092434376	3.307880400	500pts smooth
5.794	1	-0.180	-0.180	1	3.490	3.490	-0.242	3.563	10pts smooth	-0.094257712	3.307462700	500pts smooth
5.796	3	-0.327	-0.327	3	3.673	3.673	-0.245	3.539	10pts smooth	-0.096070945	3.307041200	500pts smooth
5.798	1	-0.100	-0.100	1	3.430	3.430	-0.212	3.455	10pts smooth	-0.097872443	3.306616300	500pts smooth
5.800	1	-0.220	-0.220	1	3.280	3.280	-0.168	3.361	10pts smooth	-0.099660560	3.306188800	500pts smooth
5.802	3	-0.200	-0.200	3	3.327	3.327	-0.125	3.293	10pts smooth	-0.101433660	3.305759000	500pts smooth
5.804	2	0.005	0.005	2	3.225	3.225	-0.096	3.243	10pts smooth	-0.103190090	3.305327400	500pts smooth
5.806	0		-0.075	0		3.243	-0.104	3.232	10pts smooth	-0.104928240	3.304894700	500pts smooth
5.808	2	-0.155	-0.155	2	3.260	3.260	-0.121	3.241	10pts smooth	-0.106646460	3.304461500	500pts smooth
5.810	2	-0.195	-0.195	2	3.170	3.170	-0.146	3.263	10pts smooth	-0.108343090	3.304028000	500pts smooth
5.812	2	-0.175	-0.175	2	3.385	3.385	-0.171	3.296	10pts smooth	-0.110016520	3.303595100	500pts smooth
5.814	1	-0.050	-0.050	1	3.410	3.410	-0.164	3.358	10pts smooth	-0.111665090	3.303163100	500pts smooth
5.816	1	-0.270	-0.270	1	3.160	3.160	-0.149	3.405	10pts smooth	-0.113287180	3.302732500	500pts smooth
5.818	1	-0.150	-0.150	1	3.690	3.690	-0.140	3.384	10pts smooth	-0.114881140	3.302304000	500pts smooth
5.820	2	-0.035	-0.035	2	3.255	3.255	-0.133	3.343	10pts smooth	-0.116445330	3.301878000	500pts smooth
5.822	2	-0.145	-0.145	2	3.225	3.225	-0.120	3.278	10pts smooth	-0.117978110	3.301455300	500pts smooth
5.824	2	-0.140	-0.140	2	3.205	3.205	-0.112	3.209	10pts smooth	-0.119477850	3.301035900	500pts smooth
5.826	1	-0.180	-0.180	1	3.260	3.260	-0.113	3.181	10pts smooth	-0.120942910	3.300620800	500pts smooth
5.828	1	0.010	0.010	1	3.110	3.110	-0.124	3.183	10pts smooth	-0.122371640	3.300210500	500pts smooth
5.830	2	-0.265	-0.265	2	3.215	3.215	-0.165	3.223	10pts smooth	-0.123762410	3.299805200	500pts smooth
5.832	1	-0.130	-0.130	1	3.250	3.250	-0.219	3.283	10pts smooth	-0.125113590	3.299405600	500pts smooth
5.834	1	-0.240	-0.240	1	3.400	3.400	-0.283	3.371	10pts smooth	-0.126423520	3.299012400	500pts smooth
5.836	1	-0.510	-0.510	1	3.450	3.450	-0.326	3.445	10pts smooth	-0.127690580	3.298625900	500pts smooth
5.838	1	-0.220	-0.220	1	3.570	3.570	-0.303	3.457	10pts smooth	-0.128913120	3.298246900	500pts smooth
5.840	1	-0.250	-0.250	1	3.270	3.270	-0.244	3.432	10pts smooth	-0.130089510	3.297875600	500pts smooth
5.842	1	-0.200	-0.200	1	3.450	3.450	-0.137	3.334	10pts smooth	-0.131218090	3.297512800	500pts smooth
5.844	0		-0.010	0		3.265	-0.047	3.229	10pts smooth	-0.132297260	3.297158700	500pts smooth
5.846	1	0.180	0.180	1	3.080	3.080	-0.050	3.171	10pts smooth	-0.133325350	3.296814200	500pts smooth
5.848	1	-0.260	-0.260	1	3.080	3.080	-0.067	3.136	10pts smooth	-0.134300720	3.296479700	500pts smooth
5.850	2	-0.145	-0.145	2	3.265	3.265	-0.073	3.165	10pts smooth	-0.135263430	3.296135400	500pts smooth
5.852	1	-0.020	-0.020	1	3.240	3.240	-0.070	3.232	10pts smooth	-0.136253890	3.295761800	500pts smooth
5.854	2	-0.015	-0.015	2	3.065	3.065	0.018	3.343	10pts smooth	-0.137271060	3.295360100	500pts smooth
5.856	1	0.100	0.100	1	3.710	3.710	0.022	3.407	10pts smooth	-0.138313920	3.294930700	500pts smooth
5.858	2	0.070	0.070	2	3.415	3.415	-0.008	3.448	10pts smooth	-0.139381390	3.294474600	500pts smooth
5.860	2	-0.140	-0.140	2	3.410	3.410	-0.095	3.418	10pts smooth	-0.140472470	3.293992500	500pts smooth
5.862	2	-0.255	-0.255	2	3.235	3.235	-0.183	3.354	10pts smooth	-0.141586100	3.293485600	500pts smooth
5.864	1	-0.250	-0.250	1	3.560	3.560	-0.201	3.295	10pts smooth	-0.142721240	3.292954400	500pts smooth
5.866	2	-0.115	-0.115	2	2.965	2.965	-0.203	3.245	10pts smooth	-0.143876840	3.292399900	500pts smooth
5.868	2	-0.220	-0.220	2	3.280	3.280	-0.215	3.204	10pts smooth	-0.145051850	3.291822700	500pts smooth
5.870	2	-0.170	-0.170	2	3.255	3.255	-0.224	3.176	10pts smooth	-0.146245270	3.291224000	500pts smooth
5.872	1	-0.340	-0.340	1	3.120	3.120	-0.226	3.190	10pts smooth	-0.147456020	3.290604400	500pts smooth
5.874	2	-0.215	-0.215	2	3.210	3.210	-0.228	3.215	10pts smooth	-0.148683070	3.289964700	500pts smooth
5.876	1	-0.180	-0.180	1	3.250	3.250	-0.227	3.237	10pts smooth	-0.149925400	3.289305900	500pts smooth
5.878	2	-0.155	-0.155	2	3.260	3.260	-0.223	3.260	10pts smooth	-0.151181920	3.288628800	500pts smooth
5.880	2	-0.370	-0.370	2	3.320	3.320	-0.228	3.267	10pts smooth	-0.152451630	3.287934300	500pts smooth
5.882	1	-0.180	-0.180	1	3.200	3.200	-0.235	3.272	10pts smooth	-0.153733490	3.287223100	500pts smooth
5.884	2	-0.195	-0.195	2	3.280	3.280	-0.223	3.287	10pts smooth	-0.155026440	3.286495900	500pts smooth
5.886	2	-0.225	-0.225	2	3.320	3.320	-0.210	3.294	10pts smooth	-0.156329420	3.285754000	500pts smooth
5.888	1	-0.260	-0.260	1	3.320	3.320	-0.218	3.281	10pts smooth	-0.157641430	3.284997700	500pts smooth
5.890	1	-0.180	-0.180	1	3.250	3.250	-0.228	3.254	10pts smooth	-0.158961420	3.284228100	500pts smooth
5.892	2	-0.275	-0.275	2	3.130	3.130	-0.248	3.215	10pts smooth	-0.160288320	3.283446300	500pts smooth
5.894	2	-0.315	-0.315	2	3.225	3.225	-0.299	3.164	10pts smooth	-0.161621110	3.282652600	500pts smooth
5.896	2	-0.270	-0.270	2	3.185	3.185	-0.360	3.115	10pts smooth	-0.162958740	3.281848200	500pts smooth
5.898	1	-0.460	-0.460	1	2.970	2.970	-0.424	3.058	10pts smooth	-0.164300190	3.281033800	500pts smooth
5.900	2	-0.535	-0.535	2	3.085	3.085	-0.474	3.032	10pts smooth	-0.165644390	3.280210300	500pts smooth
5.902	1	-0.470	-0.470	1	2.990	2.990	-0.467	3.110	10pts smooth	-0.166990320	3.279378400	500pts smooth
5.904	2	-0.450	-0.450	2	3.200	3.200	-0.447	3.221	10pts smooth	-0.168336930	3.278539200	500pts smooth
5.906	2	-0.395	-0.395	2	3.485	3.485	-0.445	3.353	10pts smooth	-0.169683170	3.277693500	500pts smooth
5.908	1	-0.410	-0.410	1	3.380	3.380	-0.451	3.461	10pts smooth	-0.171028020	3.276841900	500pts smooth
5.910	2	-0.480	-0.480	2	3.580	3.580	-0.487	3.459	10pts smooth	-0.172370420	3.275985200	500pts smooth
5.912	1	-0.590	-0.590	1	3.340	3.340	-0.503	3.412	10pts smooth	-0.173709330	3.275124500	500pts smooth
5.914	2	-0.525	-0.525	2	3.370	3.370	-0.437	3.331	10pts smooth	-0.175043720	3.274260800	500pts smooth
5.916	1	-0.240	-0.240	1	3.190	3.190	-0.354	3.242	10pts smooth	-0.176372530	3.273394300	500pts smooth
5.918	2	-0.230	-0.230	2	3.200	3.200	-0.274	3.183	10pts smooth	-0.177694740	3.272526500	500pts smooth
5.920	1	-0.270	-0.270	1	3.140	3.140	-0.212	3.140	10pts smooth	-0.179009300	3.271657700	500pts smooth
5.922	3	-0.223	-0.223	3	3.087	3.087	-0.222	3.117	10pts smooth	-0.180315170	3.270789100	500pts smooth
5.924	2	-0.195	-0.195	2	3.175	3.175	-0.241	3.125	10pts smooth	-0.181611300	3.269921500	500pts smooth
5.926	3	-0.267	-0.267	3	3.087	3.087	-0.259	3.150	10pts smooth	-0.182896640	3.269055600	500pts smooth
5.928	3	-0.373	-0.373	3	3.173	3.173	-0.260	3.187	10pts smooth	-0.184170190	3.268192300	500pts smooth
5.930	2	-0.155	-0.155	2	3.300	3.300	-0.255	3.222	10pts smooth	-0.185430870	3.267332300	500pts smooth
5.932	3	-0.240	-0.240	3	3.253	3.253	-0.226	3.234	10pts smooth	-0.186677650	3.266476900	500pts smooth
5.934	3	-0.240	-0.240	3	3.163	3.163	-0.198	3.235	10pts smooth	-0.187909480	3.265626200	500pts smooth
5.936	3	-0.147	-0.147	3	3.240	3.240	-0.209	3.213	10pts smooth	-0.189125340	3.264781700	500pts smooth
5.938	1	-0.260	-0.260	1	3.240	3.240	-0.230	3.196	10pts smooth	-0.190324170	3.263943900	500pts smooth
5.940	2	-0.175	-0.175	2	3.120	3.120	-0.245	3.221	10pts smooth	-0.191504940	3.263113700	500pts smooth
5.942	2	-0.390	-0.390	2	3.280	3.280	-0.254	3.249	10pts smooth	-0.192666590	3.262292100	500pts smooth
5.944	3	-0.217	-0.217	3	3.267	3.267	-0.237	3.257	10pts smooth	-0.193808110	3.261479600	500pts smooth
